Shiva,"Amba Sarita Shambha Shivaaya 
Hara Hara Hara Hara Mahaadevaaya 
Hara Hara Hara Hara Mahaadevaaya Shambho 
Parvathi Ramana Sada Shivaaya 
Hara Hara Hara Hara Mahaadevaaya 
Hara Hara Hara Hara Mahaadevaaya Shambho 
Parvathi Ramana Sadaa Shivaaya","This bhajan is dedicated to Shiva and Parvati.
Amba (or Shakti, the Goddess Who energizes the Universe), is the consort of Shiva 
The eternal Shiva is the One Who pleases Parvati. Hara is the One Who attracts and destroys."
Shiva,"Arunaachala Shiva Sai Shankara 
Nacho Hey Nataraaj 
Bhasma Bhooshana Naagaabharana Nacho Hey Shiva Raaj 
Thaandava Priya Kara, Natana Nateshwara, Nacho Hey Nataraaj 
Nacho Hey Nataraaj 
Dama Dama Dama Dama Damaroo Bajaavo 
Jhana Jhana Jhana Jhana Paayaliyaa 
Dhimiki Dhimiki Dhimi, Dhimiki Dhimiki Dhimi, 
Nacho Hey Nataraaj 
Nacho Hey Nataraaj","O Sai Shiva, dweller on the peaks of Arunachal mountain please
do the cosmic dance for us. With ash smeared on your body and a 
serpent dangling around your neck, do the Tandava dance. Rattle 
your drum. Jingle your anklets. Reverberate the earth with your rhythm. Dance for us Nataraja."
Shiva,"Atma Lingam Bhajorey (Athi) Adbhutha Lingam Bhajorey 
Naaga Lingam Navamani Lingam 
Nabhi Kamala Udbhava Lingam 
Eeshwara Lingam Bhajorey Partheeshwara Lingam Bhajorey","Sing in praise of Atma Lingam. Lingam representing the Snakes
and nine precious stones, the Lingam that has emerged out of His 
navel. Sing in praise of the Eshwara and Parthiswara Lingam."
Shiva,"Bhasma Vibhooshitha Bhavaani Shankara 
Bhava Bhaya Naashaka Bholaa Shankara 
Har Har Shankar Samba Shiva 
Har Har Shankar Sai Shiva 
Om Namah Shivaya Shivaya Namah Om (3X)","Worship Lord Shankar - Lord of Bhavani, Who has sacred ashes
smeared all over the body ( a sign of highest renunciation). 
Easy to please Lord Shankar destroys the fear of cycle of birth 
and death. Chant the mantra, ""Har Har Shankar Sai Shiva"" and 
""Om Namah Shivaya Shivaya Namah Om"
Shiva,"Bhasma Bhooshithanga Sai Chandra Shekharaa 
Phaala Nethra Shoola Dhaari Sai Shankara 
Bhasma Bhooshitanga Sai Chandra Shekharaa 
Saama Gaana Priyakaraa Sai Sundaraa 
Hara Hara Hara Shiva Shambho Natana Shekharaa 
Parthi Vaasa Sai Deva Sai Shankaraa 
Sai Shankara Sathya Sai Shankara","Worship the charming Lord Sai: Who wears sacred holy ashes all
over Him; Who is decorated with Moon on Head; Who has third 
spiritual eye on forehead; and Who holds Trident (representing 
three phases each of, time, space and attributes). O King among 
the dancers! O Charming One! Virtuous persons adore and 
worship Thee. Chant the name of Lord Sathya Sai Shankar, Resident of Parthipuri and Lord of Lords."
Shiva,"Bhola Bhandaari Baba Shiva Shiva Sai Baba 
Anaathha Rakshaka Deena Dayaala Patheetha Paavana Sai Baba 
Yogeshwara Sai Muraari, Yogeshwara Hey Tripuraari 
Nithyaananda Brahmaananda Premaananda Sai Baba","O Lord Sai Baba! Thou art the support, sustainer and shelter of
fallen and miserable ones. Chant the names of Lord Yogeshwar, 
Sai, Murari. Who is always blissful, happy and loving."
Shiva,"Bhola Naathha Hare Jagadeesha 
Shaileshwara Hara Uma Mahesha 
Bhola Naathha Hare Jagadeesha 
Bhava Bhaya Haari Hey Tripuraari 
Shiva Gangaadhara Sai Muraari 
Bhola Naath Bhola Naath 
Sai Naath Sai Naath","Lord who gives all that is asked, Lord of all creation;
Dwelling in the purity and peace of Mt. Kailas, Shiva, Lord of 
Uma, Great God; One who destroys fear by removing the veil of 
ignorance; Shiva, source of the purifying waters of the Ganges, 
our Sai; Lord who gives everything, Lord Sai, Lord Sai."
Shiva,"Bhola Naathha Shambhoo Shankara 
Sai Naathha Bhola Maheswara 
Dum Dum Damaru Boley Shankara 
Dhimi Dhimi Dhimi Dhimi Natana Manohara 
Parthipureeshwara Shanakara 
Bhola Maheshwara Sai Shankara","Chant the name of Easy-to-please Lord Sai Shankara, Shambhoo,
Maheswara. Beautiful Lord Shankara gently dancing to the rhythmic beats of Damaru (Drum)."
Shiva,"Bolo Bolo Submil Bolo Om Namah Shivaaya 
Om Namah Shivaaya Om Namah Shivaaya 
Bolo Bolo Submil Bolo Om Namah Shivaaya 
Jhootajataamey Gangaa Dhaari 
Trishoola Dhari Damaru Bhajavey 
Dama Dama Dama Dama Damaru Baja 
Goonj Uthavo Nama Shivaya 
Om Nama Shivaaya (4x)","Sing, sing, everyone in worship of Lord Shiva; Bow, surrender
to Lord Shiva; He bears the Ganges in his twisted locks of hair; 
He holds the trident, his damaru (drum) plays ""Dama Dama""; The 
atmosphere echoes with Shiva's name; Bow, surrender to Lord Shiva."
Shiva,"Brahma Murari Sadaa Poojitha 
Namah Shivaaya Namah Shivaaya 
Bilvaacharana Priya Bhavaani Shankara 
Namah Shivaaya Namah Shivaaya 
Mruthyunjaya Mahadeva Maheshwara 
Namah Shivaaya Namah Shivaaya 
Bhasmo Dhulitha Thejo Vigraha 
Namah Shivaaya Namaha Shivaaya 
Lingodbhavakara Sai Maheshwara 
Namah Shivaaya Namah Shivaaya 
Namah Shivaaya, Namah Shivaaya 
Om Namah Shivaaya, Shivaaya Nama Om","Lord Shiva is fond of being worshipped by bilva tree leaves.
He is Lord of Lords and conquerer of death. We bow to Thee. O 
Lord Sai, Who has sacred ashes emanating from Him and illumining 
the Universe with His Light. Through the creation of the Linga, 
the Universe has come into existence. Chant the mantra, ""Om Namah Shivaya"". We bow to Thee, O Lord Shiva."
Shiva,"Brahma Muraari Sura Nara Poojitha 
Om Namah Shivaaya, Namah Shivaaya 
Bilvaarchana Priya Bhava Bhaya Naashaka 
Om Namah Shivaaya, Namah Shivaaya 
Parvathi Vallabha Panchaanana Hara 
Om Namah Shivaaya, Namah Shivaaya 
Om Namah Shivaaya, Namah Shivaaya 
Thrishoola Dhaari Hey Tripuraari 
Om Namah Shivaaya, Namah Shivaaya 
Om Namah Shivaaya, Namah Shivaaya","Our salutations to Brahma the creator, Vishnu the preserver
and Shiva, Parvathi's consort, the destroyer who carries a trident, 
who destroyed the three worlds and inculcates in us fearlessness."
Shiva,"Brahma Vishnu Shankara 
Shirdi Baba Shankara 
Parthi Baba Shankara 
Shiva Shiva Shiva Shiva Shankara 
Hara Hara Hara Hara Shankara 
Shiva Shiva Shiva Shiva Shankara 
Namah Shivaaya Namah Shivaaya 
Namah Shivaaya Om Namah Shivaaya 
Shirdi Baba Shankara 
Parthi Baba Shankara","Brahma (creator), Vishnu (preserver) and Shankara (destroyer)
Hey Shirdi Baba Thou art verily Shankara (Shiva). Hail, hail to Thee, Oh Shankara 
Chant, chant the sacred name of Shiva"
Shiva,"Chandra Kalaadhara Saambha Sadaa Shiva 
Shambho Mahadeva 
Shiva Shambo Mahadeva (2x) 
Aum Namah Shivaaya, Shivaaya Namah Aum","Chant the mantra, ""Aum Namah Shivaya, Shivaya Namah Aum"".
Meditate on Lord of Lords, Shambha Sada Shiva Shambhoo, who has 
the moon as decoration on his forehead."
Shiva,"Chandra Shekhara Dayaa Maya Maheshwara Krupaa Maya 
Parameshwara, Jagadeeshwara, Shirdeeshwara, Partheeshwara 
Ganga Jhataadhara Gauri Shankara 
Trishoola Dhaaraka Chidambareshwara 
Nandi Vaahana Jaya Naageshwara 
Vibhooti Sundara Sai Gireeshwara 
Dayaa Karo Krupa Karo (2) 
Raksha Karo Sayeeshwara (2)","This is a description of Lord Shiva. He sports a crescent
moon on his head. He is the embodiment of kindness. Both Shirdi 
Baba and Sathya Sai baba are none other than Him. His matted locks 
hold the river Ganga. He wields a trident and rides the bull 
Nandi. He has a cobra around his neck. His body is smeared with 
holy ash. He dwells on the top of the snow clad mountain. To that 
Shiva I address myself and beseech ""Lord, please protect us your devotees"""
Shiva,"Chandra Shekaraaya Namah Om 
Gangaa Dharaaya Namah Om 
Om Namah Shivaaya Namah Om 
Hara Hara Haraaya Namah Om 
Shiva Shiva Shivaaya Namah Om 
Sayeeshwaraaya Namah Om","To Lord Shiva, who bears the crescent moon, we bow; The
celestial Ganges descends from his matted locks: to him we bow; 
To the Lord who destroys darkness, we bow and surrender; To the 
supreme Lord Shiva, we offer ourselves; To the supreme Lord Sai, 
we bow in reverence and surrender."
Shiva,"Dam Dam Dam Dam Damaru Bhajey 
Ghan Ghan Ghan Ghanta Bhajey 
Dam Dam Dam Dam Damaru Bhajey 
Shiva Shiva Shiva Shambhoo Bhajey 
Shiva Sai Shankar Sada Bhajey","In esctacy,drum (Damaru) beats 'Dam Dam Dam' and bell rings, 'Ghan
Ghan Ghan'. Worship Lord: Shiva; Sai; Shambhoo and Shankara."
Shiva,"Dam Dam Dam Dam Damaru Bhajey 
(Hara) Bhola Naathha Shiva Shambho Bhajey 
(Hara) Sai Naathha Shiva Shambho Bhajey 
Ghan Ghan Ghan Ghan Ghanta Bhajey 
(Hara) Gauri Naathha Shiva Shambho Bhajey 
(Hara) Sai Naathha Shiva Shambho Bhajey 
(Hara) Sathya Sai (Naathha) Shiva Shambho Bhajey","The drum beats the sound of ""dam dam""; It plays in worship of
Shiva; The gong rings out the sound of ""ghan ghan""; It sings in 
worship of Shiva; It sings in worship of Lord Sai, who is Shiva incarnate)."
Shiva,"Dam Dam Dam Dam Damaru Bhajey Naachey Sai Shankara 
Bhum Bhum Bhum Bhum Bhola Maheshwara 
Naachey Sai Shankara 
Dhimi Dhimi Dhimi Dhimi Mrudanga Bhajey 
Naachey Sai Shankara 
Ghana Ghana Ghana Ghana Ghanta Bhajey 
Naachey Sai Shankara 
Hara Hara Hara Hara Halahala Dhara 
Naachey Sai Shankara 
Dhimi Dhimi Dhimi Dhimi, Dhimi Dhimi 
Dhimi Dhimi Naachey Sai Shankara 
Naachey Sai Shankara, Naachey Sai Shankara","The drum beats 'Dum Dum Dum and Bhum Bhum Bhum and Dhimi Dhimi
Dhimi' and bell rings 'Ghan Ghan Ghan', when the holder of 
dreadful poison 'Halahala' - Lord Sai Shankara does Cosmic Dance'."
Shiva,"Dama Dama Dama Dama Damaru Bhajey 
Naachey Shankara Naacherey (2) 
Dama Dama Dama Dama Damaru Bhajey (2) 
Tunga Himaachala Shringa Nivaasitha (2) 
Naachey Pralayankara Naacherey (2) 
Srishti Shankara Laya Pralayankara (2) 
Naacherey Shiva Naacherey (2)","The Damaru (the rattle that Shiva holds in His hands) is beating;
And Lord Shanakara is dancing (His cosmic Dance); The drums are beating 
And Pralayankara (Shiva - the one who brings about Pralaya at the end of Yugas) is dancing; 
The One who lives in the snow clad mountains is dancing; Lord Shiva is dancing"
Shiva,"Dama Dama Damaru Damuru Naathha Shiva 
Dhimika Dhimika Dhimi Gauri Naathha Shiva 
Dama Dama Damaru Damuru Naathha Shiva 
Natana Manohara Nataraja Shiva 
Hara Hara Bhum Bhum Bhola Naathha Shiva 
Shambho Shankara Viswanatha Shiva 
Shivaya Namah Shiva Sai Naathha Shiva (lo & high)","King of Dance, Lord Shiva loves the sound of the Drum, Dam Dam
Dam, Dhim, Dhim, Dhim and Bhum Bhum Bhum. Chant the name of 
easy-to-please Lord Shiva, Shankara, Shambhoo and Lord Sai Naathha."
Shiva,"Darshana Do Shiva Shankara Deva 
Darshana Do Sai Shankara Deva ..(Darshana Do..) 
Gaja Charmaambara Hey Pralayankara 
Hey Pralayankara, Hey Abhayankara ..(Gaja Charmaamnara..) 
Hey Tripuraari Trinetra Dhaari 
Parvathi Ramana Paataka Harana 
Hey Bhuvaneshwara Dayaa Karo","Will You not come and reveal yourself to me, Sai Shankara?
I can visualize You dressed in an elephant skin. O Lord of 
dissolution, You have inculcated fearlessness in us, devotees. O 
Eashwara, destroyer of the three worlds, O three eyed One, 
Parvathi's consort, giver of salvation to sinners, Lord of the 
universe will you not come and give me a glimpse of Your Form?"
Shiva,"Dayaa Karo Bhagawan Shankara Dayaa Karo Bhagawan 
Trinetra Dhaari Trishoola Dhaari Ganga Dhaari Dayaa Karo 
Parvathi Ramana Pannaga Bhooshana Neelakantha Dayaa Karo 
Chandra Shekhara Chandra Kala Dhara Vibhooti Sundara Dayaa Karo","O Lord Shankar, have mercy on us, the three-eyed one, holding
the three-pronged Trident, holding the Ganges in Your hair. O 
enchanter of mother nature; O! Blue necked one, thou hast the moon as decoration of forehead. Have mercy."
Shiva,"Dayaa Karo Shiva Ganga Dhaari 
Krupaa Karo Shiva Hey Tripuraari 
Naama Madhura Thava Mangala Kaari 
Alakha Niranjana Thrishoola Dhaari 
Dayaa Karo Dayaa Karo Dayaa Karo Bhola Bhandara 
Dayaa Karo, Krupaa Karo, Rakshaa Karo Bhola Bhandari","O Compassionate and Pure Hearted Lord Shiva! Have mercy on us.
Protect and shower Thy Grace on us. O Auspicious Three-eyed 
one! Holder of Trishul, Pure One! Shower Thy grace on us."
Shiva,"Deena Naathha Shankara 
Karuna Saagara Shankara 
Parthipureeshwara Shankara 
Bhola Naathha Kailaasavasa 
Parthipureesha Hey Paramesha 
Sayeeshwara Deva","Chant the name of Lord Shankara: Who is Protector of
miserables and afflicted; Who is Ocean of compassion; Who is 
resident of Kailasa mountain; and Who is Lord of Lords, Lord Sai residing in Parthipur."
Shiva,"Dhim Dhim Dhimi Dhimi Natana Shiva 
Thaandava Keli Vilaasa Shiva 
Dhim Dhim Dhimi Dhimi Natana Shiva 
Leela Maanusha Vesha Shiva 
Lingodhbava Kara Sai Shiva 
Sai Shiva Hara Baala Shiva","O Lord Shiva, the lover of the rhythmical dance, The performer of cosmic Dance, Tandava
Who has taken the human form as if for sport (lila) 
O Sai Shiva, the Lord who brings up the Lingam by His Divine Will 
O Sai, the Young (Bala) Shiva"
Shiva,"Dhimiki Dhimiki Dhim Dhimiki Dhimiki Dhim Naachey Bhola Nath 
Naachey Bhola Nath (4x) 
Mridanga Boley Shiva Shiva Shiva Om 
Damaru Boley Hara Hara Hara Om 
Veena Boley Sai Ram Sai Ram 
Naachey Bhola Nath (4x)","Lord Shiva dances in ecstacy with the tune, ""Dhimiki Dhimiki
Dhim"". Along with it the drum vibrates with the sound, ""Har Har 
Har Om"", Mrudanga (musical instrument) chants the auspicious 
name of, ""Shiva Shiva Shiva"" and Veena (musical instrument) 
vibrates chanting. ""Hari Om Hari Om Hari Om"" and ""Sai Ram Sai Ram""."
Shiva,"(Hara) Ganga Jataa Dhara Gauri Shankara Girija Mana Ramana 
(Jaya) Mrityumjaya Mahadeva Maheshwara Mangala Shubha Charana 
Nandi Vaahana Naaga Bhushana 
Nirupama Guna Sadanaa 
Natana Manohara Neela Kanta Sai 
Neeraja Dala Nayanaa (Sai)","Glory to the One who bears river Ganges in His hair; Glory to the One who is the husband of Parvati;
Glory to the One who is beyond death; Glory to the One whose Feet spell good for every one; 
Glory to the One who rides the Nandi Glory to the One who has a cobra around His neck 
Glory to the one who is the embodiment of unparalleled virtues; 
Hail the enchanting dancer, the blue throated Sai, Whose eyes are like the petals of a Lotus flower"
Shiva,"Gangaadhara Gauri Mahesha 
Thripuraksha Jyothi Prakaasha 
Haala Haladhara Paramesha 
Chandra Shekara Sai Mahesha","O Lord of Gauri, Lord Maheshwara! Thou illumine the entire
universe with Thy third spiritual eye. Thou art holding holy 
river Ganga in Thy matted hair, wear moon as an ornament on 
forehead and hold halahal poison in Thy neck. (So it cannot spread all over the Universe"
Shiva,"Gangaadhara Hara Gangaadhara Hara 
Gangaadhara Hara Shankara 
Bhava Naasha Bhava Bhanja Vimochana 
Sathya Sai Shiva Shankara","O Lord Sai! Thou art the destroyer of fear and bondage of birth
and death and remover of obstacles."
Shiva,"Gangaadhara Hara Gauri Shivaaya 
Shambho Shankara Shaambha Shivaaya 
Brahma, Vishnu, Parameshwara Roopa 
Bhaktha Jana Priya Sai Krupaala","O Lord of Gauri! Bearer of the holy River Ganga! Thou art
loving, kind and merciful to devotees. Chant the many names of 
Lord: Brahma (Creator), Vishnu (Sustainer and Nourisher), and 
Maheswara (Destroyer of Evils), Shambhoo Shankara and Shambha Shiva and Lord Sai."
Shiva,"Gangaadhara Hara Hara Shambho 
Vibhoothi Shankara Sai Shambho 
Om Hara Hara Hara Hara Shambho 
Haala Haladhara Hara Shambho 
Haala Haladhara Sai Shambho","This is a prayer to Lord Shiva who: Has the river Ganges on His head;
Who has Vibhuti all over His body; Who swallowed the deadly poison ; Who is also our Lord Sai"
Shiva,"Gangaadhara Shiva Gangaadhara Hara Kailaasa Naathha Prabhu Shankara 
Bhavanasha Bhava Bandha Vimochana 
Sathya Sai Shiva Shankara","Shiva, the bearer of Ganges river, the Lord of Kailas mountain; He is the destroyer of worldly ties;
He releases from bondage; He has taken the form of Sathya Sai"
Shiva,"Gauri Shankara Parvathi Shankara 
Chandra Kaladhara Haala Haladhara 
Trinetradhari Ganga Jataadhara 
Hara Hara Shankara Sai Shankara 
Hara Hara Shankara Sai Shankara","Oh Lord Shankara, Lord of Gauri (Parvathi)! Oh the One who wears moon in His head!
The One who drank the deadly Haalahala poison! The One having three eyes, the One having Ganga in His head! 
Oh Lord, Hara Hara Shankara (Shiva), Oh Lord Sai Shiva"
Shiva,"Hara Hara Gangey Hara Hara Gangey 
Hey Nataraja, Hey Shiva Raja, Hara Hara Hara Hara Gangey 
Natana Shekhara, Hey Shiva Sundara 
Parthipureeshwara, Jaya Gangadhara 
Shankara Shiva Shankara, Shiva Shankara Sai","This is a namavali or a string of God's names. It describes
Lord Shiva and says ""Victory to You, Shiva""."
Shiva,"(Om) Hara Hara Hara Hara Bhola Nath 
(Om) Hara Hara Hara Hara Sai Nath 
Shiva Shiva Shambho Kailaasa Nath 
Shiva Shiva Shambho He Vishwa Nath","Say the Names of Lord Shiva: Hara the Destroyer of ego; Shambho the Bestower of Good;
Kailash Nath the Lord of the sacred mountain, Kailash; Vishwa Nath the Lord of the Universe "
Shiva,"Hara Hara Hara Hara Mahaadeva 
Shiva Shiva Shiva Shiva Sadaa Shiva 
Om Hara Hara Hara Hara Mahaadeva 
Om Namo Namo Namah Shivaaya 
Brahma Vishnu Surarchithaaya Om Namo Namo Namah Shivaaya 
Uma Ganesha Sharavana Sevita Om Namo Namo Namah Shivaaya 
Om Namo Namo Namah Shivaaya","Glory to the great God Shiva! Chant the auspicious name ""Shiva""
You are worshipped by all the other aspects of God - Brahma and Vishnu worship You 
You are served by Your consort, the Divine Mother Uma 
and by Your sons, Ganesha and Sharavana (Subramaniam) 
All praise, glory and homage to Shiva!"
Shiva,"Hara Hara Hara Hara Namaami Shankara Bhajamana Sai Ram 
Shiva Shiva Shiva Shiva Sada Shivaaya Bhajamana Sai Ram 
Bhajamana Sai Ram","Sing (chant) the name of Shiva, the name of Sai. Sing (chant) the name of Sai Ram"
Shiva,"Hara Hara Hara Hara Saamba Shiva 
Vibhoothi Sundara Sai Shiva 
Ganga Dhara Hara Gauri Shiva 
Trishoola Dhari Trinethra Shiva 
Parthi Puri Paramesha Shiva 
Vibhoothi Sundara Sai Shiva","Oh Lord Shiva (Hara and Sambha are names of Shiva), Oh Sai Shiva
Thou art adorned with Vibhuthi (sacred ash), You are consort of 
Gauri (Parvathi), You wear Ganga (Goddess of river Ganges) on 
your locks, You have a trident in Your hands and You are the 
three eyed God. Oh Sai, Lord of Puttaparthi, You are Sai Shiva"
Shiva,"Hara Hara Hara Mahaadeva 
Trishoola Damaru Dhari (2) 
Aadi Naathha Chandra Naathha (2) 
Maheshwara Thripurari (2) 
Hara Hara Hara Mahaadeva (2) 
Gangadhara Trilochana (2) 
Vaama Deva Mana Vihaari (2) 
Shankara Shree Bhootha Naathha (2) 
Aayo Sharana Tihari (2)","The great God Shankar is adorned with a trident and drum; The Ruler of the moon and Lord of Adi (Parvati);
The One who killed Tripura Demon; He is holding the Ganges in His head; 
He has three eyes and moves in the forest. O auspicious Lord of all beings, I take refuge in Thee"
Shiva,"Hara Hara Shankara Namaami Shankara 
Umapathi Kailaasa Pathey Shankara 
Hara Hara Shankara Namaami Shankara 
Gangaa Dhara Hara Chandra Kalaa Dhara 
Parthipureeshwara Shiva Sai Shankara","O Lord Sai Shankar! Resident of Kailasa (pure hearts) and loving Lord
of Uma (Parvati); bearer of Holy river Ganges in Thy matted hair locks; 
Thou wear moon on forehead; we bow to Thee)."
Shiva,"Hara Hara Shankara Saamba Sadaa Shiva Esha Mahesha 
Thaandava Priyakara Chandra Kalaadhara Esha Mahesha 
Amba Suta Lambodhara Vanditha Esha Mahesha 
Tunga Himaachala Shringa Nivaasitha Esha Mahesha","Chant the many names of the Lord: Shankar, Shambha Sada Shiva and Mahesha.
O Lord Mahesh! Thou art fond of Tandava Dance (cosmic dance). You are adorned 
with Moon as decoration on Your forehead. Thou art worshipped by the darling 
son of Mother Amba - Lord Ganesh,the One with a pot belly. Thou art the resident of the Himalayas"
Shiva,"Hara Shiva Shankara Bholey Nath 
Parthi Pureeshwara Sai Nath 
Ahi Bhooshana Shiva Gauri Nath 
Parama Sumangala Sai Nath 
Girija Ranga Paramananda 
Samadhi Priya Ganganaath","Chant the name of Lord Shiva Shankara and Lord of Parthi, Lord
Sai Nath. O Lord of Gauri! Thou hast cobra as an ornament; 
always blissful and pleasing to Girija (Consort). Lord Sai 
Naathha, bearer of Ganges and bestower of auspiciousness and lover of deep meditative states)."
Shiva,"Hara Shiva Shankara Shashanka Shekara 
Hara Bham Hara Bham Bham Bham Bolo (2X) 
Bhavaa Bhayankara Girijaa Shankara 
Dhimi Dhimi Dhimi Thaka Nartana Khelo (2X)","Shiva, destroyer of evil, bestower of good; He holds the
crescent moon on his forehead; Lord of Parvati, who destroys our 
bondage to wordly existence; Hear his anklets and his drum as he 
dances the dance that is the play of the universe."
Shiva,"Hari Hari Om Shiva Shankara Om 
Narayana Hari Om Narayana Hari Om 
Keshava Hey Shiva Madhava Hey 
Narayana Hari Om Narayana Hari Om 
Paramaathma Antharyaami 
Narayana Hari Om Narayana Hari Om","Glory to Hari, Shiva, Keshava who are different forms of the
Divine Power which is Om. He is the Omnipresent indweller of all beings"
Shiva,"Hari Om Namah Shivaaya 
Shiva Shiva Shankara Hara Parameshwara 
Sayeeshwaraaya Namah Om (2X) 
Hari Om Namah Shivaya",We bow to Sai who is Hari and Shiva
Shiva,"Hari Om Namah Shivaaya 
Hari Om Hari Om Hari Om Namah Shivaaya (2X) 
Hari Om Om Om Hari Om Om Om Hari Om Om Namah Shivaaya","Chant the sacred mantra, Om Namah Shivaya"
