Guru,Bhajan,Meaning
Guru,"Matha Annapoorneshwari 
Shree Sathya Sayeeshwari 
Matha Annapoorneshwari 
Matha Saraswathi Maatha Mahalakshmi 
Maatha Annapoorneshwari 
Shree Shiva Shaktheeshwari (2)","Eulogise the power (Shakti) or Mother aspect of God, known by
feminine names :- Matha Annapoorneshwari - Goddess of plenty - 
Mother Durga; Shree Sathya Sayeeshwari; Matha Saraswati - Goddess of 
Learning and knowledge; Matha Mahalakshmi - Goddess of wealth and 
Shree Sai Shaktishwari - Shree Sathya Sai - representating all types of powers."
Guru,"Naada Brahmamayee Sayeeshwari 
Bhagavathi Maatha Kripa Saagari 
Naada Brahmamayee Sayeeshwari 
Varaahi Vaishnavi Vageeswari 
Maathangi Mahaamaye Mookambikey 
Parameshwari Hari Sodari 
Bhava Bhaya Haarini Sathya Sayeeshwari","Hey Mother Sai, You are the form of the sound of Brahman (Om).
You are the ocean of compassion, You are Varahi, Vaishnavi, 
Vageeshwari, Mathangi, Mahamayee and Mookambike (all different 
names for Parvathi). Oh Mother Sathya Sai, You are the destroyer of the fear of the cycle of birth and death"
Guru,"Naaga Bhooshani Sai Naaraayani 
Shaambhavi Shankari Parama Shivani 
Himagiri Nandini Durga Bhavaani 
Bhagavathi Bharati Brahma Sanaathani 
Tripura Sundari Aananda Roopini","Worship Mother: Naaraayani - who is decorated with a snake around the
neck; Shambhavi; Shankari; Shivani; Nandini; Durga; Bhavani; 
Bhagavati; Bharati; Brahma Sanatani; Tripura Sundari. Oh Mother ! Thy 
Form is Bliss and Thou art a resident of Himalayan mountain. "
Guru,"Namo Shaarada Namo Shaarada Namo Shaarada Maatha 
Hey Vidya Jnana Pradaayani 
Maa Veena Pusthaka Dhaarini 
Bhava Bhanjani Mana Ranjani 
Sathya Sayeeshwari (3) Maatha 
Sathya Sayeeshwari Maatha (high)","Salutations to the Divine Mother Sarada, Giver of knowledge and
wisdom; The one who holds the veena and the book; The Goddess 
who removes fears of worldly existence from the mind; Divine 
Mother in the form of Sathya Sai Baba who is Mother herself."
Guru,"Narayini Veda Paaraayani 
Karunaantarangini Narayini..(Narayini) 
Kaamaakshi Sundari Kaarthyaayini 
Vaani Saraswathi Vijayaambike 
Vaageshwari Vaag Devi Janani (2) 
Kaarunya Laavanya Gunashaalini","This song describes Goddess Parvathi or Lakshmi. She is
Naaraayani or the consort of Lord Narayana. She is the Vedas. She 
is our kindhearted intimate friend and mother. She is known by 
many names, Kaamaakshi, Kaarthyaayini, Vaani, Saraswathi, Ambike, 
Vaageshwari, Vaag Devi Etc. She is our Goddess Mother and is full 
of kindness, charm and all the finest qualities."
Guru,"Om Bhadra Kaali Namo Namo Shree Bhadra Kaali Namo Namo 
Om Bhadra Kaali Shree Bhadra Kaali, Jaya Bhadra Kaali Namo Namo","Om Kali, the Destroyer of evil, and Protector; Prostrations to Kali the Preserver giving security;
Shree Kali Hail Hail Shree Kali; Worship the Name of Badhra Kali; Om Shree Badhra Kali "
Guru,"Om Jaga Janani Sai Maatha 
Omkaara Roopini Sai Maatha 
Abhaya Pradaayini Sai Maatha 
Sai Maatha Sathya Sai Maatha 
Anaatha Rakshaka Sai Maatha",Oh Mother of Universe Sai ! Thy form is of Pranava. Thou art destroyer of fear and protector of destitute.
Guru,"Om Sathya Sai Matha 
Onkaareshwari Sai Matha ..(Om Sathya Sai Matha) 
Sathya Sanathani Sai Narayini 
Sundara Vadane Sai Matha..(Om Sathya Sai Matha) 
Divya Swaroopini Deena Samrakshini 
Devi Sureshwari Sai Matha 
Mangala Kaarini Moksha Vidhaayini 
Manjula Bhaashini Sai Matha","This is a description of Mother Sai. Mother Sai is the
primeval Goddess. She is the embodiment of the ""Pranava"" Sound Om 
and of Truth. She is a divine beauty. She is the protector of the 
meek and humble. She always brings auspiciousness into our lives, 
rids us of the bondage of life and death so that we can revert to 
our true status of divinity. She is our Supreme Goddess, Sai Matha the soft spoken Goddess."
Guru,"Om Shakthi Om Shakthi Om Shakthi Om 
Brahma Shakthi, Vishnu Shakthi, Shiva Shakthi Om 
Om Shakthi Om Shakthi Om Shakthi Om 
Iccha Shakthi, Kriya Shakthi, Jnaana Shakthi Om 
Om Shakthi Om Shakthi Om Shakthi Om 
Aadi Shakthi, Paraa Shakthi, Mahaa Shakthi Om 
Om Shakthi Om Shakthi Om Shakthi Om 
Shirdi Shakthi, Sai Shakthi, Sathya Shakthi Om (2X) 
Om Shakthi, Om Shakthi, Shiva Shakthi Om","This bhajan praises Shakthi, the regal power which comprises
the three worlds, the active power of energy of a Deity, especially Shiva. It is in Brahma (creative power), 
in Vishnu (sustaining power), in Shiva (destroying of evils), in Iccha Shakthi (power of Willing and Wishing), 
Adi Shakthi (the beginningless, primeval, causeless power), Para Shakthi (power unlimited, Supreme Power), and 
Maha Shakthi (power of powers)."
Guru,"Para Shakthi Param Jyothi Paraathpare Radhey Devi 
Jaya Radhey Jaya Radhey, Raaja Raajeshwari Priya Priye (2X) 
Jaya Radhey Jaya Radhey, Radhey Shyaam Radhey Shyaam (2X)","Oh supreme Power, supreme Light, Oh supreme One, Divine Mother Radha,
Hail to Radha! Oh Goddess of the Rasa Play, Beloved of the Beloved, Victory to Radha! Oh Radha and Krishna! "
Guru,"Parthipureeshwari Karunaa Saagari Maa 
Jagadambe Sai Janani 
Tribhuvana Paalini Bhava Bhaya Haarini 
Jagatodhaarini Maa Vishwa Vilaasini Maa 
Durgati Naashini Maa Sadgati Daayini Maa","Oh Goddess of Puttaparthi, veritable ocean of kindness, Mother Sai,
ruler of the three worlds, destroyer of the fear of the eternal 
cycle of birth and death, saviour of the entire world, Oh 
omnipresent One, Oh Mother You have always protected us from 
misfortunes that strike us and have assured us a life of truth and bliss. We bow to Thee Mother."
Guru,"Pranamaami Shree Durge Sai Naaraayani 
Jai Jagadambe Devi Bhavaani 
Mahishasura Samhaarini 
Maha Maaya Dukha Haarini","I pay obeisance to Mother Durga, Sai Naaraayani, Jagadambe - Mother of
Universe - Mother Amba and Devi Bhavani - destroyer of cycle of birth and death; 
destroyer of demon Mahishasura and remover of miseries and vast illusion or Maya or ignorance"
Guru,"Raja Raajeshwari Jaganmohini 
Jagadambe Mangala Kaarini 
Jagatodhaarini Vishwa Vilaasini 
Chira Sukha Daayini Sai Janani","Queen of Goddesses, bewitching the entire world, providing
auspiciousness in our lives, saviour of the world, Oh omnipresent 
One, bestower of eternal bliss, Mother Sai, our salutations to You."
Guru,"Sad Guru Sai Saraswathi 
Brahma Devi Sathi Bharathi 
Mangala Manjula Vaag Vilaasini 
Veena Vaadini Kalaavathi 
Hansa Vaahini Vidya Daayini 
Veda Maatha Sai Bhagavathi","Worship the Supreme Teacher, Sai - the auspicious embodiment of
all learning and wisdom, adept in the art of producing sweet 
melodies on veena (Saraswathi), bestower of all knowledge, who has the 
celestial swan as vehicle. Oh Lord Sai, You are the Mother of Vedas."
Guru,"Sadaa Shiva Ranjani Sai Janani 
Sambhavi Shankari Durga Bhavaani 
Sada Shiva Ranjani Sai Janani 
Akhilandeshwari Raja Rajeshwari 
(Sai) Maatha Maheshwari Naaraayani","Eternal joy of Lord Shiva, wife of Shiva, giver life, mother of all worlds, queen of queens."
Guru,"Sai Bhavaani Sai Bhavaani Sai Bhavaani Maa 
Subhankari Abhayankari Jai Sai Bhavaani Maa 
Durga Lakshmi Saraswathi Jai Bhavaani Sai Bhavaani Maa 
Gayathri Shiva Gauri Maheshwari Sai Bhavaani Maa","Victory and salutations to Mother Sai, destroyer of bondage of
life and death, remover of fear, Durga, Laxmi, Saraswati and Gayatri."
Guru,"Sai Matha Jaya Jagadambe Jaya Jagadambe Maa Oh Sai Maa 
Guru Devi, Namo Namah 
Lakshmi Devi, Namo Namah 
Sai Matha, Jaya Jagadambe, Jaya Jagadambe, Maa Oh Sai Maa 
Brahmani Maa Shiva Shankari Maa, Girija Maheshwari Vaishnavi Maa 
Guru Devi, Namo Namah 
Lakshmi Devi, Namo Namah","Glory to Mother Sai, Mother of the Universe; We bow down again,
and again to our Goddess and guru; Oh Mother Saraswati, Mother 
Parvati, great Goddess Mother Lakshmi; We make obeisance to our Guru, the Goddess, to Lakshmi herself."
Guru,"Sai Shankari 
Sathya Sai Shankari 
Vaani Saraswathi Maatha Bhavaani 
Jagatodhaarini Sai Janani 
Saama Gaana Priye Vaani Janani 
Sangeetha Rasike Jagat Janani 
Veena Dhaarini Vidya Daayini","Oh Mother Sai, you are none other than Saraswathi, the patron
Goddess of music and learning, that resplendent beauty with the 
Veena in her hand, the saviour of the entire universe, and bestower 
of knowledge and learning. We bow to Thee."
Guru,"Sai Shiva Shankari Sai Parameshwari 
Amba Bhavani Maa 
Jaya Jagat Janani Maa 
Jaya Maa Jaya Maa Jaya Maa","Sai who is Parvati, Supreme Goddess, Mother and giver of life,
Victory to the mother of the Universe"
Guru,"Sarva Mangala Sai Janani 
Parthi Niwaasini Parama Shivaani ..(Sarva Mangala..) 
Devi Saraswathi Durga Lakshmi 
Jagadeeshwari Jaganmaata Bhavaani 
Jagat Janani Jaya Lakshmi Naaraayani","Our most auspicious mother Sai who dwells in Puttaparthi is
none other than Parvathi the supreme Goddess and consort of Lord 
Shiva. She is also Saraswathi (Goddess of learning), Durga (The 
Goddess who vanquished the demon Mahishasura), Lakshmi (Goddess of 
wealth), Bhavani (another name for Durga), Naaraayani (Consort of 
Narayana). She is the supreme Goddess and Mother of the universe. 
Victory to Thee Mother (in Your task of redeeming mankind)."
Guru,"Sathya Swaroopini Maa Sai Prema Swaroopini Maa 
Ananda Daayini Hrudaya Vihaarini, Parthi Nivaasini Maa 
Vighna Vinaashini, Bhava Bhaya Haarini Kaalika Paalini Maa 
Hey Tribhuvana Dhaarini Mangala Kaarini Moksha Pradaayini Maa 
(Param) Ananda Daayini Hrudaya Vihaarini Parthi Nivaasini Maa","Mother Sai, embodiment of truth and love; Blissful,
compassionate mother, she dwells within the heart and as Mother 
Sai she resides in Puttaparti; Remover of obstacles and 
destroyer of worldly fears, Goddess Kali the protector; Bearer 
of the three worlds, the giver of auspiciousnes and granter of 
liberation; Blissful, compassionate mother, Mother Sai who resides in Puttaparti."
Guru,"Sayeeshwari Amba Jagadeeshwari 
Kalyaani Kaancheepuri Kaamaakshi 
Partheeshwari Amba Parameshwari 
Maatangi Madhurapuri Meenakshi","Pray and worship Divine Mother Sai, Mother of Universe; Mother Kalyani
of Kanchipuri; Mother Matangi of Madhurapuri; Mother Kamakshi and Mother Meenakshi"
Guru,"Shaamba Vinodini Shiva Sai Shankari 
Mangala Gauri Maatha Maheshwari 
Akhilandeshwari Raaja Raajeshwari 
Dayaa Sagari Parama Krupa Kari","Oh Sai Shankari! You are confering joy to Lord Sambha Shiva.
Chant the names of Mother: Gauri, Maheshwari, Akhilandeswari (all pervading), 
and Raja Rajeswari. Oh ocean of mercy and extremely graceful Mother! Bestow auspiciousness"
Guru,"Shambhavi Shankari Namo Namo 
Shanta Swaroopini Namo Namo 
Sathya Sai Maheshwari Namo Namo 
Namo Namo Namo Namo 
Namo Namo Namo Namo","Pay obeisance by bowing to Mother: Shambhavi, Shankari, Sathya Sai
Maheswari, whose Form is Bliss. Bow again and again."
Guru,"Shankari Shambhavi Shivankari Abhayankari 
Shree Karee Kripa Mayee Maheshwari Manoharee 
Paahi Paahi Maheshi Ambe Durge Shiva Paahi Maam","This bhajan calls to the different Names and forms of Shakti -
Shankari, Shambhavi, Shivankari - for protection: Abhayankari - Who grants fearlessness 
Shree Kari - Who grants prosperity; Kripa Mayi - Who grants Grace 
Maheshwari - Name of Shakti; Manohari - Who attracts or charms and destroys the mind 
Pahi Pahi - Who protects devotees; Maheshi, Ambe, Durge, Shiva - Names of Shakti 
Pahi Mam - Protect me "
Guru,"Sharadey Hey Shuka Vaani 
Bharati Janani Bhaagya Vidhaayani 
Sharadey Hey Shuka Vani 
Mangala Daayini Madhura Vaani 
Vishwa Vimohini Sai Janani","Oh Goddess of Speech and Knowledge, Mother Saraswathi! Oh Bharati!
Thy speech is auspicious, sweet and bestower of fortune. Oh Mother Sai! Thou enchants entire creation."
Guru,"Sharadey Jaya Sharadey Vaag Vilaasini Sharadey 
Sharadey Jaya Sharadey Vidya Daayini Sharadey 
Sharadey Jaya Sharadey Veda Maatha Sharadey 
Veda Matha Sharadey","Oh Mother Sharada (Parvathi), hail to Thee! Victory to Thee,
Mother, who bestows intelligence. Victory to Thee, Mother, 
who bestows wisdom. Victory to You, Mother of Vedas"
Guru,"Shree Maatha Jagan Maatha Sai Maatha Shashi Gauri Maatha 
Dharanee Maatha Pari Poorani Maatha 
Jagat Dhaarani Maatha Bhava Haarini Maatha","Divine mother of creation, Mother Gauri with a moon-like face,
who supports the world, source of abundance, who frees us from the cycle of birth and death."
Guru,"Shreekari Kripaakari Kshemamkari Sayeeshwari 
Shankari Abhayankari Shubankari Sayeeshwari 
Thandava Keli Priya Kari Bhairavi Priyankari 
(Amba) Sarveshwari Sundari Daya Kari Maheshwari","Oh Mother Sayeeshwari! You are the bestower of auspiciousness and grace.
You forgive our faults and destroy our fear. Oh Mother Bhairavi! 
You are fond of the cosmic dance. Oh all pervading beautiful Mother 
Maheswari! Please grant mercy and compassion"
Guru,"Simha Vaahini Trishoolini 
Sthritha Jana Paalini Shiva Shankari 
Simha Vaahini Trishoolini 
Chidaanandamayi Shiva Mayi 
Sadaa Shiva Mayi Sayeeshwari 
Sathya Sayeeshwari","Oh Mother Durga! Oh Holder of Trident ! Thy vehicle is Lion. Oh Shiva
Shankari(consort of Lord Shiva) thou art sustainer and protector of 
good and virtuous persons. Chant the name of ever blissful Sathya Sayeeshwari."
Guru,"Sumadhura Bhaashini Bhava Bhaya Haarini 
Tribhuvana Paalini Sai Janani Sai Janani 
Geeta Manohari Sathya Sayeeshwari 
Divya Swaroopini Sai Janani 
Ananda Daayini Bhava Bhaya Haarini 
Jagatodhaarini Sai Janani","Oh Mother Sai, soft-spoken Goddess, who rescues us from the
endless cycle of births and deaths, ruler of the three worlds, 
patron of music, embodiment of Divinity, the Divine Mother who 
confers on us eternal bliss, saviour of the whole world, we prostrate at Your Feet."
Guru,"Sundara Vadani Suguna Manohari 
Mandahaasa Mukha Shashi Vadani 
(Sai) Sundara Vadani Suguna Manohari 
Chandana Kumkuma Alankrita Vadani 
Sai Maheshwari Raaja Raajeshwari 
Om Shakthi Om, Om Shakthi Om, Om Shakthi Om, Om Shakthi Om (2x)","With beautiful face and the purest of virtues the Divine Mother
enchants us; Her smiling face is radiant and tranquil as the 
full moon; Adorned with sandalwood paste and kum-kum; Supreme 
Goddess, queen of queens, Divine Mother Sai."
Guru,"Thejo Mayi Bhavataarini Janani 
Koti Soorya Prakaashini Janani 
Brahma Mayi Atma Swaroopini 
Charaa Chara Mayi Maatha Bhavaani 
Karuna Saagari Jagadaatri 
Namosthuthe Namosthuthe 
Namosthuthe Sai Naaraayani","Oh Effulgent One, Oh Bhavatarini, Oh Mother, with radiance of
a million suns, You are creation itself, You are the eternal 
undying principle, You encompass the moving and unmoving, the 
universe itself, Oh Divine Mother Sai, Oh ocean of compassion, we bow to Thee."
Guru,"Triloka Paalini Jagadeeshwari 
Sadaananda Roopini Sayeeshwari 
Kaarunya Laavanya Kaadambari 
Partheeshwari Amba Shiva Shankari","Oh Sai! Mother of the Universe - ever in blissful form is the
protector of the Three Worlds. Dweller in Parthi. Thou art charming and compassionate."
Guru,"Tripura Sundari Maa Amba Dayaa Saagari Maa 
Sundara Vadani Maa, Amba Suguna Manohari Maa 
Jaya Jaga Jananee Maa, Amba Jagatodhaarini Maa 
Parthi Nivaasini Maa, Amba Paapa Vimochini Maa","Oh Mother, Oh bewitching beauty, destroyer
of the three worlds, Satwa, Rajas and Tamas; You are an ocean of 
kindness and compassion; You have such a lovely and radiant face; 
You are so charming and so full of great qualities; You are the 
uplifter of the whole world; You provide salvation to those that 
have sinned; Oh Mother who lives in Puttaparthi, victory to You (in 
your efforts to redeem mankind"
Guru,"Tripura Sundari Sai Bhavaani 
Parthi Pureeshwari Parama Dayaa Mayi 
Tripura Sundari Sai Bhavaani 
Tribhuvana Dhaarini Bhava Bhaya Haarini 
Bhava Bhaya Haarini (2) 
Sharanam Sharanam Maa Sai Maheshwari","Eulogise the power (Shakti) or Mother aspect of God, known by
faminine names: Beautiful complexioned Sai Bhavani; Extremely 
compassionate Parthipurishwari; Tribhuvana Dahrini - Resident of 
three worlds, who destroys the fear of cycle of birth and death. I surrender to Thee."
Guru,"Uma Maheshwari Raajeshwari 
Jagadeeshwari Dayaa Saagari 
Partheeshwari Paahi Parameshwari","Chant the name of the Mother of the universe - Uma, Maheshwari,
Rajeswari and Jagadeeshwari. Oh ocean of Mercy! Oh supreme Mother Parthiswari! Kindly protect me"
Guru,"Vaishnavi Maa Varaahi Maa 
Vishweshwari Maa Vaani Maa 
Vaishnavi Maa Varaahi Maa 
Shakthi Swaroopini Sai Maa 
Sathya Sai Maa 
Shanti Pradaayini Santhoshi Maa","Mother Lakshmi, gives us bliss, Mother Saraswathi, Queen of the
Universe, Mother Sai, embodiment of divine power who gives us peace and happpiness"
Guru,"Veena Pusthaka Maala Dhaarini 
Sai Saraswathi Shvetaambari 
Sayeeshwari Patheetha Paavani 
Parteeshwari Parameshwari 
Vishnu Mohini Lakshmi Naaraayani 
Shiva Shakthi Roopini Sai Naaraayani 
Sai Saraswathi Shvethaambari 
Veena Pusthaka Maala Dhaarini","Oh Mother Sai You are Saraswathi (Goddess of learning), with veena
(a musical instrument) in one hand and a book in the other. You are 
wearing a white dress with a garland around Your neck. You are 
Parameshwari (Parvathi), You are Vishnu, You are Lakshmi (Goddess of 
wealth), You are the embodiment of Shakthi "
Guru,"Veena Vaadhini Saraswathi Maa 
Jaya Jagadambey Janani Maa 
Veena Vaadhini Saraswathi Maa 
Amba Bhavaani Sai Maa 
Jaya Jagadeeshwari Rakshaya Maa","Victory to Mother Saraswati, holding the Veena, mother of all
creation, giver of life, Mother Sai protect us"
Guru,"Vidya Daayini Veena Vaadini 
Namo Namo Namo Sai Naaraayani 
Chinmaya Roopini Naada Swaroopini 
Namo Namo Namo Sai Naaraayani","Bow to Sai Naaraayani, who is bestower of knowledge and wisdom.
Bow to Sai Naaraayani, who is embodiment of pure spiritual intelligence and whose form is 'Om'."
Guru,"Vinathi Suno Vinathi Suno 
Vinathi Suno Vinathi Suno 
Oh Vinathi Suno 
Sankat Harani Santoshi Maa 
Saadhu Jana Priya Sai Maa 
Sadaa Ananda Daayini Maa 
Sada Shiva Priya Sai Maa 
Sathya Sai Maa","Listen to my prayer. Listen, please listen, again and again to my
prayer, Oh Mother! Grantor of contentment and fulfilment and 
destroyer of danger. Oh Blissful Mother Sai! Thou love good and 
virtuous persons. Worship enchanting Mother Sai."
